#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
A,sublime-text-dev,"is a gtk3 text editor I use. Its not free."
,playerctl,"provides media control for some mediaplayers."
A,spotify,"is a music app. Its not free."
,xarchiver,"is a GUI archive manager used by pcmanfm."
,pcmanfm-gtk3,"is a simple GUI file manager."
,steam,"is a game store."
,gcolor3,"is a gtk3 color picker."
,lxappearance-gtk3,"is used to set gtk themes."
,libreoffice-fresh,"is an office suit."
,hunspell-en_US,"is a dicttianery for liberofice"
,hunspell-el,"is a Gerek dicttianery for liberofice"
