# NAME,PURPOSE
atool,manages and gives information about archives
bash-completion,
bash,
bc,arbitrary precision calculator language
borg,
calcurse,lightweight terminal-based calendar
cronie,daemon that runs specified programs at scheduled times
dialog,
docx2txt,enables .docx file previews in vifm
dosfstools,allows your computer to access dos-like filesystems
exa,the modern ls
exfat-utils,allows management of FAT drives
findutils,basic file searching utilities to search directories and files
fzf,fuzzy finder tool
git,
highlight,highlight code output
htop,system usage information and displays processes
inxi,CLI system information tool
lshw,lists all hardware on the system
mediainfo,shows audio and video information and is used by ranger as well
nano,text editor
neofetch,displays basic system information
net-tools,configuration tools for Linux networking
nmap,network scanner
ntfs-3g,allows accessing NTFS partitions
odt2txt,enables .odt file previews in vifm
openssh,suite of security-related network utilities based on the ssh
p7zip,tool to (de-)compress archives
python-llfuse,
rsync,
sc-im,terminal spreadsheet manager
simple-mtpfs,enables the mounting of cell phones outside of pcmanfm
sshfs,FUSE-based filesystem client for mounting remote directories
tmux,terminal multiplexer
tree,lists directory contents like trees
ufw,netfilter firewall
unrar,tool to (de-)compress archives
unzip,tool to (de-)compress archives
usbutils,
w3m,terminal browser which can also view images
wireless_tools,tools allowing to manipulate the Wireless Extensions
wpa_supplicant,a utility providing key negotiation for WPA wireless networks
youtube-dl,download any YouTube video/playlist/channel) when given the link
zsh-syntax-highlighting,
zsh,
# Fonts,
ttf-liberation,Red Hats Liberation fonts
ttf-droid,
ttf-roboto,
ttf-roboto-mono,
ttf-font-awesome,font for i3blocks and lsd
#i3,
baobab,
blueman,
brave-bin,
dmenu,generic men for X
dunst,suckless notification system
feh,image viewer that also sets the wallpaper
firefox,web browser
g810-led-git,
gnome-disk-utility
gnome-keyring,takes care of the user's security credentials
gnome-software
gnome-system-monitor
gnome-terminal,the GNOME Terminal Emulator
gnome-themes-extra,Adwaita-dark theme
gthumb,image viewer
gvfs,
gvfs-afc,
gvfs-goa,
gvfs-google,
gvfs-gphoto2,
gvfs-mtp,MTP backend; Android & media player
gvfs-nfs,
gvfs-smb,SMB/CIFS backend; Windows client
hunspell-el,Gerek dicttianery
hunspell-en_US,dicttianery
i3-gaps,window manager
i3blocks,
i3lock-color,
jq,Command-line JSON processor (used in a script)
libnotify,desktop notifications
libsecret,library for storing and retrieving passwords and other secrets
maim,can take quick screenshots at your request
mpv,simple video/gif player
networkmanager,
nm-connection-editor,
numlockx,turns on NumLock when you login
paprefs,advanced pulseaudio settings
pcmanfm-gtk3,simple GUI file manager
playerctl,media control for some mediaplayers
polkit-gnome,authentication agent
popcorntime,a program that I don't use
pulseaudio-alsa,audio interface for pulseaudio and ALSA
pulseaudio-bluetooth,
file-roller,GUI archive manager used by pcmanfm
xdg-user-dirs,
xdg-user-dirs-gtk,
xdotool,window action utilities on the command line (maim)
xkb-switch,used by i3blocks to display what keyboard layout
xorg-server,graphical server
xorg-xbacklight,RandR-based backlight control application
xorg-xdpyinfo,displays information X
xorg-xinit,starts the graphical server
xorg-xprop,property displayer for X
xorg-xrandr,cli tool for screen adjustments
xsettingsd,
#dev,
autopep8,
bash-language-server,
cmake,cross-platform open-source make system
dkms,
docker-compose,
docker,
python-pip,
shellcheck,
shfmt,
