#TAG,NAME IN REPO,PURPOSE
,pulseaudio-alsa,"is an audio interface with ALSA."
,pulsemixer,"is an audio controller."
,gnome-keyring,"takes care of the user's security credentials"
,polkit-gnome,"is an authentication agent."
,ttf-inconsolata,"is the monospace font of YARBS."
,ttf-liberation,"- Red Hats Liberation fonts"
,libsecret,"is a library for storing and retrieving passwords and other secrets."
,libnotify,"allows desktop notifications."
,termite,"is the terminal I use right now."
,imv,is an image viewer for Wayland and X11.
,mpv,is simple video/gif player.
,galculator,is a simple GUI calculator.
,zathura-pdf-poppler,is a PDF plugin for zathura based on poppler.
,qt5ct,is used for theming qt programs.
,pulseaudio-equalizer,is an equalizer for pulseaudio.
,qbittorrent,is a torrent client.
,xarchiver,is a GUI archive manager used by pcmanfm.
,pcmanfm-gtk3,is a simple GUI file manager.
,gvfs-mtp,"(MTP backend; Android, media player)"
,gvfs-smb,"(SMB/CIFS backend; Windows client)"
,firefox,"doesn't need a description."
A,popcorntime-bin,"is a program that I don't use."
A,gtk-theme-minwaita,is my current gtk theme.
A,sublime-text-dev,is a gtk3 text editor I use. Its not free.
A,spotify,is a music app. Its not free.
,playerctl,provides media control for some mediaplayers.
