sshfs, fuse-sshfs
docx2txt, not available or named differently.
i3blocks, not available or named differently.
gcolor3, gcolor2 / flathub
xorg-server, xorg-x11-server-Xorg
xorg-xinit, xorg-x11-xinit
xorg-xrandr, lxrandr
xorg-xprop, xorg-x11-utils
xorg-xbacklight, xbacklight
xwallpaper, feh
maim, not available or named differently.
gcolor3, not available or named differently.
pulseaudio-alsa, not available or named differently.
ttf-liberation, liberation-fonts
imv, feh
pcmanfm-gtk3, pcmanfm
arduino-docs, arduino-doc
popcorntime-bin, not available or named differently.
gtk-theme-minwaita, not available or named differently.
sublime-text-dev, https://www.sublimetext.com/docs/3/linux_repositories.html#dnf or flathub
