#NAME,PURPOSE,REPO
atool,manages and gives information about archives,
calcurse,lightweight terminal-based calendar,
exfat-utils,allows management of FAT drives,
fzf,fuzzy finder tool,
highlight,highlight code output,
htop,system usage information and displays processes,
lsd,the modern ls,
lshw,lists all hardware on the system,
mediainfo,shows audio and video information and is used by ranger as well,
neofetch,displays basic system information,
neovim,terminal text editor,
nmap,network scanner,
ntfs-3g,allows accessing NTFS partitions,
odt2txt,enables .odt file previews in vifm,
p7zip,tool to (de-)compress archives,
sshfs,FUSE-based filesystem client for mounting remote directories,
tmux,terminal multiplexer,
ufw,netfilter firewall,
unrar,tool to (de-)compress archives,
vifm,extensive terminal file manager,
w3m,terminal browser which can also view images,
wpa_supplicant,a utility providing key negotiation for WPA wireless networks,
youtube-dl,download any YouTube video/playlist/channel) when given the link,
inxi,CLI system information tool,
glxinfo,,
simple-mtpfs,enables the mounting of cell phones outside of pcmanfm,
,,
#i3,,
i3,window manager,
i3blocks,,skidnik/i3blocks
jq,Command-line JSON processor,
xorg-x11-server-Xorg,graphical server,
xorg-x11-xinit,starts the graphical server,
xorg-x11-server-utils,cli tool for screen adjustments,
xbacklight,RandR-based backlight control application,
compton,X compositor that may fix tearing issues,
xdotool,window action utilities on the command line (maim),
dunst,suckless notification system,
numlockx,turns on NumLock when you login,
feh,image viewer that also sets the wallpaper,
maim,can take quick screenshots at your request,
xkb-switch,used by i3blocks to display what keyboard layout,
libnotify,desktop notifications,
gnome-terminal,the GNOME Terminal Emulator,
playerctl,media control for some mediaplayers,
galculator,simple GUI calculator,
pcmanfm,simple GUI file manager,
gvfs-afc,,
gvfs-gphoto2,,
gvfs-mtp,MTP backend; Android & media player,
gvfs-smb,SMB/CIFS backend; Windows client,
xarchiver,GUI archive manager used by pcmanfm,
firefox,web browser,
hunspell-en,dicttianery,
hunspell-el,Gerek dicttianery,
NetworkManager,,
nm-connection-editor,,
NetworkManager-openconnect,,
NetworkManager-openvpn,,
NetworkManager-pptp,, 
NetworkManager-vpnc,,
NetworkManager-ssh,,
paprefs,advanced pulseaudio settings,
pavucontrol,audio controller,
polkit-gnome,authentication agent,
liberation-fonts,Red Hats Liberation fonts,
gcolor3,color picker for GNOME,
mpv,simple video/gif player,
zathura-pdf-poppler,PDF plugin for zathura based on poppler,
qt5ct,used for theming qt programs,
transmission-gtk,torrent client,
libreoffice,,
libreoffice-langpack-el,,
libreoffice-langpack-en,,
#MS docx2txt,enables .docx file previews in vifm,
#MS python-ueberzug,generates image previews in vifm and other terminal programs,
#MS sc-im,terminal spreadsheet manager,
#MS yadm,?Maybe?,
#? stow,?Maybe?,
### openssh-server REMOVE
