# Name,Purpose,Repo
alacritty,terminal,
atool,,
bc,,
code,,
@development-tools,,
dialog,,
dosfstools,,
eccodes,,
fedora-workstation-repositories,,
fd-find,,
findutils,,
fzf,,
gdal,,
gdal-devel,,
gdal-libs,,
gretl,,
grib_api,,
gthumb,,
jq,,
mpv,,
nmap,,
npm,,
npm,,
obs-studio,,
odt2txt,,
python3-gdal,,
python3-numpy,,
python3-tqdm,,
python-pandas,,
qpdf,,
R,,
radian,,
remmina,,
rstudio-desktop,,
ShellCheck,,
sqlitebrowser,,
texlive-scheme-full,,
timeshift,,
tmux,,
tree,,
@virtualization,,
w3m,,
youtube-dl,,
'dnf-command(copr)',quotes are needed - copr manager,
R-CoprManager,,iucar/cran
google-chrome-stable,,
