#TAG,NAME IN REPO,PURPOSE
,gdm,"is Gnome's display manager and login screen"
,gnome-shell,"provides gnome desktop environment."
,gnome-control-center,"is the main interface to configure various aspects of the desktop."
,gnome-tweaks,"provides advanced settings for Gnome."
,gnome-shell-extensions,"provides extensions for Gnome."
,chrome-gnome-shell,"is anative browser connector for integration with extensions.gnome.org"
,gnome-menus,"- GNOME menu specifications."
,gnome-terminal,"is the default terminal for Gnome."
,gnome-clocks,"provides clocks applications for Gnome"
,gnome-calendar,"is a calendar application."
,gnome-screenshot,"is a gui screenshot utility."
,gnome-keyring,"takes care of the user's security credentials"
A,gnome-shell-extension-gsconnect,
,gthumb,"is an image viewer I use for cropping images."
,gparted,"is a GUI disc manager."
,polkit-gnome,authentication agent
,libsecret,library for storing and retrieving passwords and other secrets
,libnotify,desktop notifications
,,
,,
#,Arcive list of addon, I haven't used gnome for a long time.
#,AlternateTab,https://extensions.gnome.org/extension/15/alternatetab/
#,Arc Menu,https://extensions.gnome.org/extension/1228/arc-menu/
#,Dash to Dock,https://extensions.gnome.org/extension/307/dash-to-dock/
#,Dash to Panel,https://extensions.gnome.org/extension/1160/dash-to-panel/
#,Drop Down Terminal,https://extensions.gnome.org/extension/442/drop-down-terminal/
#,Frippery Move Clock,https://extensions.gnome.org/extension/2/move-clock/
#,Suspend Button,https://extensions.gnome.org/extension/826/suspend-button/
#,TopIcons Plus,https://extensions.gnome.org/extension/1031/topicons/
#,Unite,https://extensions.gnome.org/extension/1287/unite/
#,User Themes,https://extensions.gnome.org/extension/19/user-themes/
#,Sound Input & Output Device Chooser,https://extensions.gnome.org/extension/906/sound-output-device-chooser/
#,Transparent Window Moving,https://extensions.gnome.org/extension/1446/transparent-window-moving/
#,Auto GIT,https://extensions.gnome.org/extension/1313/auto-git/
#,Places Status Indicator,https://extensions.gnome.org/extension/8/places-status-indicator/
#,# The rest I haven't used myself,
#,Arch Linux Updates Indicator,https://extensions.gnome.org/extension/1010/archlinux-updates-indicator/
#,Media Player Indicator,https://extensions.gnome.org/extension/55/media-player-indicator/
#,Put Windows,https://extensions.gnome.org/extension/39/put-windows
#,Transparent GNOME panel,https://extensions.gnome.org/extension/1099/transparent-gnome-panel/
#,Sound Input & Output Device Chooser,https://extensions.gnome.org/extension/906/sound-output-device-chooser/
#,Removable Drive Menu,https://extensions.gnome.org/extension/7/removable-drive-menu/
#,Workspace Indicator,https://extensions.gnome.org/extension/21/workspace-indicator/
