#TAG,NAME IN REPO,PURPOSE
#CLI,,
,arch-audit," - a CVE monitoring utility."
,linux-headers,"scripts for building modules for Linux kernel."
,pacman-contrib," - provides scripts for pacman on Archlinux."
,atool,"manages and gives information about archives."
,bc,"is an arbitrary precision calculator language."
,cronie,"is a daemon that runs specified programs at scheduled times."
,bash-completion,"is what it sounds like."
,cmake,"is a cross-platform open-source make system."
,net-tools,", configuration tools for Linux networking."
,nmap,"is a network scanner."
,ufw,"is a netfilter firewall."
,openssh,"is a suite of security-related network utilities based on the ssh."
,sshfs,"is a FUSE-based filesystem client for mounting remote directories over ssh."
,dosfstools,"allows your computer to access dos-like filesystems."
,exfat-utils,"allows management of FAT drives."
,ntfs-3g,"allows accessing NTFS partitions."
,p7zip,"is a tool to (de-)compress archives."
,unrar,"is a tool to (de-)compress archives."
,unzip,"is a tool to (de-)compress archives."
,lsd,"is the modern ls."
,calcurse,"is a lightweight terminal-based calendar."
,highlight,"can highlight code output."
,htop,"provides system usage information and displays processes."
,fzf,"is a fuzzy finder tool."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,neovim,"is terminal text editor."
,vifm,"is an extensive terminal file manager."
,w3m,"is a terminal browser which can also view images."
,mediainfo,"shows audio and video information and is used by ranger as well."
,docx2txt,"enables .docx file previews in vifm."
,odt2txt,"enables .odt file previews in vifm."
A,inxi,"is a CLI system information tool."
A,simple-mtpfs,"enables the mounting of cell phones outside of pcmanfm."
#i3,,
,i3,"is the main graphical user interface and window manager (group)."
,dmenu,"is a generic men for X."
,xorg-server,"is the graphical server."
,xorg-xinit,"starts the graphical server."
,xorg-xrandr,"a cli tool for screen adjustments."
,xorg-xprop,"is a property displayer for X"
,xorg-xbacklight,"is a RandR-based backlight control application"
,feh,"is an image viewer that also sets the wallpaper."
,xdotool,"provides window action utilities on the command line (maim)."
,maim,"can take quick screenshots at your request."
,dunst,"is a suckless notification system."
,gcolor3,is a gtk3 color picker.
A,xkb-switch,"is used by i3blocks to display what keyboard layout is being used."
#common,,
,pulseaudio-alsa,"is an audio interface for pulseaudio and ALSA."
,pavucontrol,"is an audio controller."
,gnome-keyring,"takes care of the user's security credentials"
,polkit-gnome,"is an authentication agent."
,ttf-liberation,"- Red Hats Liberation fonts"
,libsecret,"is a library for storing and retrieving passwords and other secrets."
,libnotify,"allows desktop notifications."
,gnome-terminal,"is the GNOME Terminal Emulator."
,mpv,is simple video/gif player.
,playerctl,"provides media control for some mediaplayers."
,galculator,is a simple GUI calculator.
,zathura-pdf-poppler,is a PDF plugin for zathura based on poppler.
,qt5ct,is used for theming qt programs.
,pulseaudio-equalizer,is an equalizer for pulseaudio.
,qbittorrent,is a torrent client.
,xarchiver,is a GUI archive manager used by pcmanfm.
,pcmanfm-gtk3,is a simple GUI file manager.
,gvfs-mtp,"(MTP backend; Android, media player)"
,gvfs-smb,"(SMB/CIFS backend; Windows client)"
,firefox,"doesn't need a description."
,arduino,"is an IDE for arduino."
,arduino-avr-core," - archlinux upstream avr-gcc."
,arduino-docs,"are documents for arduino offline documentation."
,virtualbox-host-modules-arch,"."
,virtualbox,"."
,virtualbox-guest-iso,"."
A,virtualbox-ext-oracle,"."
A,popcorntime-bin,"is a program that I don't use."
A,sublime-text-dev,is a gtk3 text editor I use. Its not free.
