#TAG,NAME IN REPO,PURPOSE
#CLI,,
,bc,"is an arbitrary precision calculator language."
,bash-completion,"is what it sounds like."
,openssh,"is a suite of security-related network utilities based on the ssh."
,sshfs,"is a FUSE-based filesystem client for mounting remote directories over ssh."
,dosfstools,"allows your computer to access dos-like filesystems."
,exfat-utils,"allows management of FAT drives."
,p7zip,"is a tool to (de-)compress archives."
,unrar,"is a tool to (de-)compress archives."
,unzip,"is a tool to (de-)compress archives."
,lsd,"is the modern ls."
,htop,"provides system usage information and displays processes."
,neovim,"is terminal text editor."
A,inxi,"is a CLI system information tool."
#i3,,
,i3,"is the main graphical user interface and window manager (group)."
,dmenu,"is a generic men for X."
,xorg-server,"is the graphical server."
,xorg-xinit,"starts the graphical server."
,xorg-xrandr,"a cli tool for screen adjustments."
,xorg-xprop,"is a property displayer for X"
,xorg-xbacklight,"is a RandR-based backlight control application"
,feh,"sets the wallpaper."
,maim,"can take quick screenshots at your request."
,dunst,"is a suckless notification system."
A,xkb-switch,"is used by i3blocks to display what keyboard layout is being used."
#common,,
,ttf-liberation,"- Red Hats Liberation fonts"
,libsecret,"is a library for storing and retrieving passwords and other secrets."
,libnotify,"allows desktop notifications."
,gnome-terminal,"is the GNOME Terminal Emulator."
,pcmanfm-gtk3,is a simple GUI file manager.
,firefox,"doesn't need a description."
,code,
