#TAG,NAME IN REPO (or git url),PURPOSE
,virtualbox-host-modules-arch,
,virtualbox,
,virtualbox-guest-iso,
A,virtualbox-ext-oracle,
,gvfs-afc,
,gvfs-google,
,gvfs-mtp,
,gvfs-smb,
,gvfs-gphoto2,"Virtual filesystem implementation for GIO (gphoto2 backend; PTP camera, MTP media player)."
,gvfs-mtp,"Virtual filesystem implementation for GIO (MTP backend; Android, media player)."
,gvfs-nfs,"Virtual filesystem implementation for GIO (NFS backend)."
,networkmanager,"is what is sounds like."
,networkmanager-openconnect,
,networkmanager-openvpn,
,networkmanager-pptp,
,networkmanager-vpnc,
,network-manager-applet,"provides tray icon for networkmanager."
,numlockx,
,noto-fonts,"provides the sans and serif fonts  I use."
,noto-fonts-emoji,"provides unicode symbols and emojis."
,,
,,
# Dev,,
#,unity,
A,gitkraken,"The intuitive, fast, and beautiful cross-platform Git client."
,npm,"is a package manager for javascript."
,nodejs,
,semver,
,node-gyp,
,jdk-openjdk,
,jre8-openjdk,
,jre8-openjdk-headless,
A,intellij-idea-ultimate-e`tion,
A,intellij-idea-ultimate-edition-jre,
,mysql-workbench,"is a cross-platform, visual database design tool developed by MySQL."
,clang,"- C language family frontend for LLVM"
,valgrind,"is a tool to help find memory-management problems in programs."
,gcc-objc,"- Objective-C front-end for GCC"
,gdb,"is the GNU Debugger."
A,clion,"is a C/C++ IDE."
A,clion-cmake,"is a C/C++ IDE."
A,clion-gdb,"is a C/C++ IDE."
A,clion-jre,"is a C/C++ IDE."
A,clion-lldb,"is a C/C++ IDE."
,mariadb,
,mariadb-clients,
,mariadb-libs,
,python-pip,
,code,"is the Open Source build of Visual Studio Code (vscode) editor"
#A,visual-studio-code-bin,"is microsofts code editor."
A,sublime-text-dev,
,,
,firefox,is a web browser.
A,brave-bin,is a web browser.
,opera,is a web browser.
,libreoffice-fresh,is an office suit.
,filezilla,"is a FTP, FTPS and SFTP client."
,vlc,"is a mediaplayer."
,flashplugin,", Adobe Flash Player NPAPI."
A,postman-bin,""
A,papirus-icon-theme-git,"is a cool icon theme."
A,komorebi,"can make turn a video to an animated wallpaper."
,conky-manager,"provides stupid widgets and stuff."
,deepin-screen-recorder,"records screen."
A,spotify,"is a streaming app."
,qbittorrent,is a torrent client.
,qt5ct,is used for theming qt programs.
A,popcorntime,"is a program that I don't use."
,xarchiver,GUI archive manager used by pcmanfm
,pcmanfm-gtk3,simple GUI file manager
,pulseaudio-alsa,audio interface for pulseaudio and ALSA
,paprefs,advanced pulseaudio settings
,pavucontrol,audio controller
,qt5ct,used for theming qt programs
# Gaming,,
,steam,"is a game store."
,lib32-nss,"fixes network issue with steam on Arch."
A,discord,"is voice/text chat client for gamers."
,galculator,simple GUI calculator
