#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
#@,,"This is more of a note that a 'production ready' list."
,sway,"is an i3 replacment of wayland."
,swaylock,"is a screen locker for Wayland."
,swayidle,"handles sway when its idle."
,i3blocks,"is the status bar."
,bemenu,"is like dmenu for wayland."
A,j4-dmenu-desktop-git,"is a rewrite of i3-dmenu-desktop, which is much faster ."
,xorg-server-xwayland,"is a compatibility layer for x11 apps."
,qt5-wayland,"provides APIs for Wayland."
,wl-clipboard,"allows copying and pasting from the command line."
,mako,"is a notification daemon."
,grim,"is a screenshot utility for Wayland."
,slurp,"is a region-screenshot utility for Wayland."
