#TAG,NAME IN REPO,PURPOSE
,arch-audit,a CVE monitoring utility
,linux-headers,scripts for building modules for Linux kernel
,pacman-contrib,provides scripts for pacman on Archlinux
,expac,pacman database extraction utility
,atool,manages and gives information about archives
,bc,arbitrary precision calculator language
,cronie,daemon that runs specified programs at scheduled times
,bash-completion,is what it sounds like
,cmake,cross-platform open-source make system
,net-tools,configuration tools for Linux networking
,nmap,network scanner
,ufw,netfilter firewall
,openssh,suite of security-related network utilities based on the ssh
,sshfs,FUSE-based filesystem client for mounting remote directories
,dosfstools,allows your computer to access dos-like filesystems
,exfat-utils,allows management of FAT drives
,ntfs-3g,allows accessing NTFS partitions
,p7zip,tool to (de-)compress archives
,unrar,tool to (de-)compress archives
,unzip,tool to (de-)compress archives
,lsd,the modern ls
,findutils,basic file searching utilities to search directories and files
,lshw,lists all hardware on the system
,glances,task viewer
,calcurse,lightweight terminal-based calendar
,highlight,highlight code output
,htop,system usage information and displays processes
,fzf,fuzzy finder tool
,youtube-dl,download any YouTube video/playlist/channel) when given the link
,neofetch,dispays basic system information
,neovim,terminal text editor
,vifm,extensive terminal file manager
,w3m,terminal browser which can also view images
,mediainfo,shows audio and video information and is used by ranger as well
,tmux,terminal multiplexer
,docx2txt,enables .docx file previews in vifm
,odt2txt,enables .odt file previews in vifm
,wpa_supplicant,a utility providing key negotiation for WPA wireless networks
A,sc-im,terminal spreadsheet manager
A,inxi,CLI system information tool
A,simple-mtpfs,enables the mounting of cell phones outside of pcmanfm
