#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,i3-wm,"is the main graphical user interface and window manager."
,i3blocks,"is the status bar."
A,j4-dmenu-desktop,"is like dmenu, but only displays programs with a .desktop file."
,i3lock,"is the screen lock."
,xorg-server,"is the graphical server."
,xorg-xdpyinfo,"displays information X"
,xorg-xinit,"starts the graphical server."
,xorg-xrandr,"a cli tool for screen adjustments."
,xorg-xprop,"is a property displayer for X"
,xwallpaper,"sets the wallpaper."
,xdotool,"provides window action utilities on the command line (maim)."
,xclip,"allows for copying and pasting from the command line (used with mpv)."
,xcompmgr,"is for transparency and removing screen-tearing."
A,xkb-switch-git,"is used by i3blocks to display what keyboard layout is being used."
,maim,"can take quick screenshots at your request."
,dunst,"is a suckless notification system."
# Fonts:,,
,ttf-inconsolata,"is the monospace font of YARBS."
A,ttf-symbola,"is a font for unicode symbols."
,noto-fonts,"provides the sans and serif fonts for YARBS."
,noto-fonts-emoji,"provides unicode symbols and emojis."
# Filesystems:,,
,dosfstools,"allows your computer to access dos-like filesystems."
,exfat-utils,"allows management of FAT drives."
,ntfs-3g,"allows accessing NTFS partitions."
A,simple-mtpfs,"enables the mounting of cell phones."
# TUI:,,
#,pacman-contrib,"provides scripts for pacman on Archlinux."
,ufw,"is a netfilter firewall."
,lsd,"is the modern ls."
,p7zip,"is a tool to (de-)compress archives."
,unrar,"is a tool to (de-)compress archives."
,unzip,"is a tool to (de-)compress archives."
,expac,"is a pacman database extraction utility."
,inxi,"is a CLI system information tool."
,calcurse,"is a lightweight terminal-based calendar."
,highlight,"can highlight code output."
,htop,"provides system usage information and displays processes."
,vifm,"is an extensive terminal file manager."
,neovim,"is terminal text editor."
,openssh,"is a suite of security-related network utilities based on the ssh."
,pulseaudio-alsa,"is an audio interface with ALSA."
,pulsemixer,"is an audio controller."
,playerctl,"provides media control for some mediaplayers."
,imv,"is an image viewer for Wayland and X11."
,mediainfo,"shows audio and video information and is used by ranger as well."
,mpv,"is simple video/gif player."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
# gtk-progs:,,
,pcmanfm-gtk3,"is a simple GUI file manager."
,firefox,"doesnt need a description."
,galculator,"is a simple GUI calculator."
A,sublime-text-dev,"is a gtk3 text editor I use. Its not free."
,gcolor3,"is a gtk3 color picker."
,lxappearance-gtk3,"is used to set gtk themes."
,termite,"is the terminal I use right now."
,xarchiver,"is a GUI archive manager used by pcmanfm."
,zathura-pdf-poppler,"is a PDF plugin for zathura based on poppler."
,steam-manjaro,"is a game store."
,libreoffice-fresh,"is an office suit."
,hunspell-en_US,"is a dicttianery for liberofice"
,hunspell-el,"is a Gerek dicttianery for liberofice"
# qt-progs,,
,qt5ct,"is used for theming qt programs."
,guvcview-qt,"is the webcam app I use."
,pulseaudio-equalizer,"is an equalizer for pulseaudio."
,transmission-qt,"is a simple torrent client."
# New:,,
,gnome-keyring,"takes care of the user's security credentials"
,libsecret,"is a library for storing and retrieving passwords and other secrets."
